OBJECTID,Id,CrashCount,GroupCode,NUM_FATAL,NUM_INJURY,NUM_NONINJ,EPDO,L1STREET,L2STREET,L1STREETRT,L2STREETRT,FC1STREET,FC2STREET,FC1STREETR,FC2STREETR,RPAS,TOWNS,MASSDOT,GlobalID,created_user,created_date,last_edited_user,last_edited_date,ShapeSTLength,Top_200_Ca,Top_in_RPA,RPA_abbrev,Shape_Leng
1258,0,16,c7202bf7-056a-4967-bd21-0d63cee8d93c,0,8,8,48,PINE STREET,CENTRAL STREET,N4868,N4869,PINE STREET,CENTRAL STREET,N4868,N4869,PIONEER VALLEY PLANNING COMMISSION,SPRINGFIELD,2,{9720F3F0-A304-4BC2-8066-B454FD526971},,,,,156.880366, ,Y,PVPC,156.880344
1259,0,41,3e4d1a72-2ed6-4b86-8fcc-79802c188fbf,0,19,22,117,INTERSTATE 391,RAMP-RT 391 NB TO RT 141,I391 NB,R17006,INTERSTATE 391,RAMP-RT 391 NB TO RT 141,I391 NB,R17006,PIONEER VALLEY PLANNING COMMISSION,CHICOPEE,2,{995D9151-9239-450D-B7DC-B3EAAA9E02AF},,,,,189.637498,"N, RAMP",Y,PVPC,189.637474
1260,0,53,e9ace017-a59b-4148-8caa-6d9978276663,0,18,35,125,CHAUNCY STREET,COPELAND DRIVE,SR106 EB,N5467,CHAUNCY STREET,COPELAND DRIVE,SR106 EB,N5467,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,MANSFIELD,5,{4011F4DC-30A8-40E9-9002-7CD15D1238FE},,,,,229.573043,Y,Y,SRPEDD,229.573054
1261,0,32,ce7e6f77-75cc-4be2-82e7-a71a4861d790,0,5,27,52,ARCADE AVENUE,TAUNTON AVENUE,N5449,US44 EB,TAUNTON AVENUE,ARCADE AVENUE,US44 EB,N5449,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,SEEKONK,5,{DA966EC5-C11A-42B7-8B41-411FD23E1855},,,,,205.897284, ,Y,SRPEDD,205.897254
1262,0,18,39377c30-c927-4b17-8496-d8822b06eae5,0,8,10,50,PLYMOUTH AVENUE,LYON STREET,SR81 NB,N5552,PLYMOUTH AVENUE,LYON STREET,SR81 NB,N5552,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,FALL RIVER,5,{6D0C25EF-9222-4A91-8564-943B400BD7CC},,,,,256.08588, ,Y,SRPEDD,256.085886
1263,0,30,e0204dfa-ac5c-4371-b7e2-c53f68ff367c,0,5,25,50,MAY STREET,MAIN STREET,N3712,N037 EB,MAIN STREET,MAY STREET,N037 EB,N3712,CENTRAL MASSACHUSETTS REGIONAL PLANNING COMMISSION,WORCESTER,3,{7EC24387-D9BF-4ACA-8FB4-281D0BA9D87F},,,,,253.806527, ,Y,CMRPC,253.806561
1264,0,33,9d21ce17-717d-4fe8-af82-ecdfb943c49a,0,3,30,45,MILL STREET,SACK BOULEVARD,L142719,L202522,MILL STREET,HAWS STREET,L142719,N4000,MONTACHUSETT REGIONAL PLANNING COMMISSION,LEOMINSTER,3,{BF2D9B5A-0AFD-46E1-BB42-D58F76BCAF1F},,,,,201.55269, ,Y,MRPC,201.552736
1265,0,36,3e92888d-b4f1-49cb-b3fe-1e85ca7bdaf6,0,4,32,52,MAIN STREET,HUNTINGTON AVENUE,SR122 NB,L115195,MAIN STREET,HUNTINGTON AVENUE,SR122 NB,L115195,CENTRAL MASSACHUSETTS REGIONAL PLANNING COMMISSION,BLACKSTONE,3,{3B5D3620-2FE8-42DD-8272-6B5E388CC92F},,,,,176.996711, ,Y,CMRPC,176.996714
1266,0,29,baab5246-65a1-446f-b6ad-48139f011080,0,6,23,53,BOSTON TURNPIKE,LAKE STREET,SR9 EB,N3795,BOSTON TURNPIKE,LAKE STREET,SR9 EB,N3795,CENTRAL MASSACHUSETTS REGIONAL PLANNING COMMISSION,SHREWSBURY,3,{05D18AA4-088B-4460-99E9-10F0779F07FA},,,,,231.570226, ,Y,CMRPC,231.570112
1267,0,30,f901d006-9129-432f-b2c5-77d31b1f0bc0,0,5,25,50,CONCORD TURNPIKE,ALEWIFE BROOK PARKWAY,SR2 EB,N14423 NB,CONCORD TURNPIKE,ALEWIFE BROOK PARKWAY,SR2 EB,N14423 NB,METROPOLITAN AREA PLANNING COUNCIL,"CAMBRIDGE,ARLINGTON","6,4",{34AAB35D-5C4C-4E23-A175-63C46FEBC395},,,,,377.685237, ,Y,MAPC,377.685084
1268,0,46,95baac35-6ab7-4c1a-bc48-db2a95849013,0,12,34,94,PARK AVENUE,PARKER STREET,SR9 EB,L127866,PARK AVENUE,PARKER STREET,SR9 EB,L127866,CENTRAL MASSACHUSETTS REGIONAL PLANNING COMMISSION,WORCESTER,3,{90EE8672-1076-464A-84B6-9EDF7A87FC67},,,,,476.653164, ,Y,CMRPC,476.653303
1269,0,22,df0cb6de-c434-4476-9b31-ca007e2ecc20,0,6,16,46,ANDOVER STREET,SYLVAN STREET,SR114 EB,N1181 NB,ANDOVER STREET,SYLVAN STREET,SR114 EB,N1181 NB,METROPOLITAN AREA PLANNING COUNCIL,PEABODY,4,{CA8510A7-1A37-4CF2-B0A4-C5668EA0BADE},,,,,202.799877, ,Y,MAPC,202.799851
1270,0,90,4fab3232-64e1-4161-820c-aa0e0e3e2484,1,29,60,215,NEPONSET STREET,INTERSTATE 95,N065 EB,I95 NB,INTERSTATE 95,NEPONSET STREET,I95 NB,N065 EB,METROPOLITAN AREA PLANNING COUNCIL,NORWOOD,5,{D0EF7813-CEB9-425B-9D4B-E0581D8184F3},,,,,234.726419,"N, HIGHWAY",Y,MAPC,234.726348
1271,0,28,fb3681a2-e6e6-4c5f-8338-5d792ca8e53f,0,8,20,60,WEST UNION STREET,CENTRAL STREET,N4712,N4653,CENTRAL STREET,NORTH CENTRAL STREET,N4653,N4653,OLD COLONY PLANNING COUNCIL,EAST BRIDGEWATER,5,{650C803F-84CA-47CA-8075-BFF89BFEF0ED},,,,,439.746169, ,Y,OCPC,439.746153
1272,0,28,c57e534b-830b-438f-8e9f-0a3bbc287b2f,1,9,18,73,INTERSTATE 290,RAMP-RT 290 WB TO MAIN ST,I290 WB,R14546,INTERSTATE 290,RAMP-RT 290 WB TO MAIN ST,I290 WB,R14546,CENTRAL MASSACHUSETTS REGIONAL PLANNING COMMISSION,SHREWSBURY,3,{1A031CB9-2746-43C1-A5EE-B33D3BEEDCF6},,,,,159.899773, ,Y,CMRPC,159.899778
1273,0,10,25018d31-c718-4707-9d7d-b9c965790754,0,2,8,18,ORANGE STREET,WEST CREEK ROAD,N4579,L190490,ORANGE STREET,WEST CREEK ROAD,N4579,L190490,NANTUCKET PLANNING & ECONOMIC DEVELOPMENT COMMISSION,NANTUCKET,5,{511C33E0-5325-4EB9-AD65-62375C9635A1},,,,,173.774275, ,Y,NPEDC,173.774248
1274,0,22,0d4f3dd7-e7c5-4f6a-abde-9208718e025d,0,6,16,46,MARIANO S BISHOP BOULEVARD, ,N5400, ,MARIANO S BISHOP BOULEVARD, ,N5400, ,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,FALL RIVER,5,{137DC0AE-0D40-4B60-B632-4B8BC61ED11A},,,,,217.616536, ,Y,SRPEDD,217.616577
1275,0,17,3dd1fdcf-6f06-4021-8671-651c41008207,0,5,12,37,FALMOUTH ROAD, ,SR28 NB,B1,FALMOUTH ROAD, ,SR28 NB,B1,CAPE COD COMMISSION,BARNSTABLE,5,{774A1371-C700-42FC-92F9-B524CB59019D},,,,,174.664748, ,Y,CCC,174.664728
1276,0,232,4afeaa9f-e4ff-4034-a2c3-da99e5ebe1b5,0,43,189,404,JOHN F FITZGERALD EXPRESSWAY,NORTH WASHINGTON STREET,I93 NB,N433,JOHN F FITZGERALD EXPRESSWAY,RAMP-SUMNER TUNL TO RT 93 NB,I93 NB,R12106,METROPOLITAN AREA PLANNING COUNCIL,BOSTON,6,{3E572061-F0BA-45A2-AD3A-AD24F94685EC},,,,,419.143571,"N, HIGHWAY",Y,MAPC,419.143675
1277,0,27,9949f64e-5083-4dde-a9a5-99be1585b173,0,8,19,59,GRAND ARMY OF THE REPUBLIC HIGHWAY, ,US6 EB, ,GRAND ARMY OF THE REPUBLIC HIGHWAY, ,US6 EB, ,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,SOMERSET,5,{164B48AC-36EF-453F-9D14-146C72D047C6},,,,,360.281036, ,Y,SRPEDD,360.281082
1278,0,18,dc4df772-ad0f-45b2-b6cc-f0770bb389f5,0,3,15,30,VETERANS MEMORIAL DRIVE,EAGLE STREET,SR2 EB,SR8A-U NB,VETERANS MEMORIAL DRIVE,UNION STREET,SR2 EB,SR2 EB,BERKSHIRE REGIONAL PLANNING COMMISSION,NORTH ADAMS,1,{6FAD4B8C-AB86-4A8A-86AB-FA6B56DC819C},,,,,192.329331, ,Y,BRPC,192.329371
1279,0,43,ffe1409b-30ee-41fc-83c4-c104789e0a71,0,15,28,103,INTERSTATE 495,RAMP-RT 495 SB TO BAY ST,I495 SB,R13030,INTERSTATE 495,RAMP-RT 495 SB TO BAY ST,I495 SB,R13030,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,"TAUNTON,NORTON",5,{5091C74F-5A4A-410F-AD9F-3B8072080B8F},,,,,156.880288,"N, RAMP",Y,SRPEDD,156.880328
1280,0,32,269cdac7-70aa-4eaa-8361-ae09f28a06ed,0,6,26,56,INTERSTATE 91,RAMP-RT 91 SB TO LOWER WESTFIELD RD,I91 SB,R15581,INTERSTATE 91,RAMP-RT 91 SB TO LOWER WESTFIELD RD,I91 SB,R15581,PIONEER VALLEY PLANNING COMMISSION,HOLYOKE,2,{169E7D3C-5701-4BC6-833D-3ED048307492},,,,,156.880318, ,Y,PVPC,156.880307
1281,0,25,f40e5cec-1251-4155-a9a9-63e9b95163e3,0,5,20,45,WASHINGTON STREET,SOUTHBRIDGE STREET,US20 EB,SR12 NB,WASHINGTON STREET,SOUTHBRIDGE STREET,US20 EB,SR12 NB,CENTRAL MASSACHUSETTS REGIONAL PLANNING COMMISSION,AUBURN,3,{5EB62615-4686-42C3-AF3F-F7F6258B4B62},,,,,297.825713, ,Y,CMRPC,297.825671
1282,0,19,611053d8-5ac4-49de-9e83-32b3692035be,0,7,12,47,WEST CENTER STREET,LINCOLN STREET,SR106 EB,L173750,WEST CENTER STREET,LINCOLN STREET,SR106 EB,L173750,OLD COLONY PLANNING COUNCIL,WEST BRIDGEWATER,5,{4F49C260-9D07-46CC-85E0-1C0AAC0434A0},,,,,158.803314, ,Y,OCPC,158.803354
1283,0,32,7d42ab26-b05a-4e3b-a216-af4dc79197a0,0,9,23,68,WASHINGTON STREET,ESSEX STREET,SR129 EB,N1243 WB,WASHINGTON STREET,ESSEX STREET,SR129 EB,N1243 WB,METROPOLITAN AREA PLANNING COUNCIL,LYNN,4,{B1BAC8EA-331C-4CBA-B5BA-23F083E7810F},,,,,222.496932, ,Y,MAPC,222.496902
1284,0,30,94ade275-fc84-4edd-98ec-3ac6ac635900,0,8,22,62,KEMPTON STREET,OESTING STREET,US6 EB,L151846,KEMPTON STREET,OESTING STREET,US6 EB,L151846,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,NEW BEDFORD,5,{9E31F3AF-3018-49C8-A686-CBA391EDAC3D},,,,,190.162767, ,Y,SRPEDD,190.162718
1285,0,25,178f3d23-093c-4e53-9a68-133dcdd698a9,0,6,19,49,BEDFORD STREET, ,SR4 NB, ,BEDFORD STREET,ELDRED STREET,SR4 NB,N1905,METROPOLITAN AREA PLANNING COUNCIL,LEXINGTON,4,{25C6E897-33AA-4C97-9759-2C10F2502FA0},,,,,229.652472, ,Y,MAPC,229.652483
1286,0,30,0c809489-6cbe-46d4-aa14-44f688452a61,0,12,18,78,MAIN STREET,PLEASANT STREET,N472,SR27 NB,MAIN STREET,PLEASANT STREET,N472,SR27 NB,OLD COLONY PLANNING COUNCIL,BROCKTON,5,{EBA7CBA6-A24F-4187-A2B6-C70B7B429C57},,,,,200.12404, ,Y,OCPC,200.12404
1287,0,40,c97a2e19-768d-4027-9a10-b0695c7a7e06,0,18,22,112,CENTRE STREET,PLYMOUTH STREET,SR123 EB,N4632,CENTRE STREET,PLYMOUTH STREET,SR123 EB,N4632,OLD COLONY PLANNING COUNCIL,BROCKTON,5,{43A42B65-06C0-4EA9-A366-B61483F4E9D6},,,,,200.961978,Y,Y,OCPC,200.961951
1288,0,33,63d696bb-5ddd-49a0-8ae7-802a160931c7,0,9,24,69,INTERSTATE 495,RAMP-RT 495 NB TO RT 2A,I495 NB,R13114,INTERSTATE 495,RAMP-RT 495 NB TO RT 2A,I495 NB,R13114,METROPOLITAN AREA PLANNING COUNCIL,LITTLETON,3,{C6D19BF4-5DCA-41BC-8479-2C25746E9AE8},,,,,156.880416, ,Y,MAPC,156.880374
1289,0,19,ad8d3435-69d1-4b5f-871c-a7183ae0817d,0,6,13,43,HIGHLAND AVENUE,WEBSTER STREET,N066 NB,N2751,HIGHLAND AVENUE,WEBSTER STREET,N066 NB,N2751,METROPOLITAN AREA PLANNING COUNCIL,NEEDHAM,6,{10EF63C3-EA74-42F7-9ADF-02E557FAC1FD},,,,,268.721355, ,Y,MAPC,268.721277
1290,0,52,1e73efda-2b1b-4ab5-a20c-0379837f4c4b,0,31,21,176,STATE STREET,SAINT JAMES AVENUE,N011,N016 NB,STATE STREET,SAINT JAMES AVENUE,N011,N016 NB,PIONEER VALLEY PLANNING COMMISSION,SPRINGFIELD,2,{8F8E0C84-321C-48AF-B902-73D2D6417F75},,,,,214.331837,Y,Y,PVPC,214.331851
1291,0,30,6c5418c7-3f6f-4b40-9b70-cbea05e9b1cf,0,8,22,62,BOSTON STREET,NORTH FEDERAL STREET,N1252 EB,N2032,BOSTON STREET,NORTH FEDERAL STREET,N1252 EB,N2032,METROPOLITAN AREA PLANNING COUNCIL,LYNN,4,{844A0663-215A-4C3D-AE0C-7A2BFE24894B},,,,,160.860798, ,Y,MAPC,160.860811
1292,0,33,81cf83ae-5df5-4c19-b880-45ddb7d5ebd1,0,5,28,53,BELMONT STREET,OAK AVENUE,SR9 EB,L157697,BELMONT STREET,OAK AVENUE,SR9 EB,L157697,CENTRAL MASSACHUSETTS REGIONAL PLANNING COMMISSION,WORCESTER,3,{D20508B5-030E-4CBC-8C7B-AD778182DFC5},,,,,169.927112, ,Y,CMRPC,169.927078
1293,0,83,61960b38-278d-4542-99fc-aa4764afae17,0,16,67,147,TAUNTON AVENUE,FALL RIVER AVENUE,US44 EB,SR114A NB,TAUNTON AVENUE,FALL RIVER AVENUE,US44 EB,SR114A NB,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,SEEKONK,5,{114D15F8-06DE-43E3-8E60-06AEEE6D44DF},,,,,321.711474,Y,Y,SRPEDD,321.711431
1294,0,22,78525f22-ba71-4ad7-9518-f459d7040d66,0,7,15,50,MIDDLESEX STREET,WILDER STREET,N4430,N4500,MIDDLESEX STREET,WILDER STREET,N4430,N4500,NORTHERN MIDDLESEX COUNCIL OF GOVERNMENTS,LOWELL,4,{B28C2AA6-BC0B-4E48-B770-8B8200117FB2},,,,,205.664511, ,Y,NMCOG,205.664633
1295,0,15,b348c1bd-40cf-4a3b-999c-2fe125d22576,1,5,9,44,IYANNOUGH ROAD, ,SR132 NB, ,IYANNOUGH ROAD, ,SR132 NB, ,CAPE COD COMMISSION,BARNSTABLE,5,{BFD29178-E296-4AB3-9B4A-1F9875E591C7},,,,,168.978359, ,Y,CCC,168.978373
1296,0,39,a12ed266-ff80-44fe-adc4-417bca0184cc,0,8,31,71,TURNPIKE ROAD,RAMP-RT 9 WB TO RT 495 SB,SR9 EB,R13151,INTERSTATE 495,TURNPIKE ROAD,I495 SB,SR9 EB,CENTRAL MASSACHUSETTS REGIONAL PLANNING COMMISSION,WESTBOROUGH,3,{5B130FA4-93AB-47CE-BA7A-2B0B264C6D6D},,,,,255.82544, ,Y,CMRPC,255.825432
1297,0,18,ae64c16b-cac3-46ba-8054-04a6b6468d2a,0,8,10,50,MONTELLO STREET,LAWRENCE STREET,SR28 NB,L159053,MONTELLO STREET,LAWRENCE STREET,SR28 NB,L159053,OLD COLONY PLANNING COUNCIL,BROCKTON,5,{BD52DDE9-742F-4256-B5C4-BC90A9225FE6},,,,,238.871156, ,Y,OCPC,238.871147
1298,0,16,cbe51947-4e39-460d-8dc7-2fc481f79052,0,7,9,44,NORTH STREET,DEDHAM STREET,N2862,SR1A NB,DEDHAM STREET,NORTH STREET,SR1A NB,N2862,METROPOLITAN AREA PLANNING COUNCIL,WRENTHAM,5,{E8F1B282-0137-447A-AD1B-3134E963FC23},,,,,226.668999, ,Y,MAPC,226.668992
1299,0,34,7ec0d766-f605-49fb-81cc-9cb3680450cb,0,6,28,58,BROADWAY,HAMPSHIRE STREET,SR28 NB,SR113 EB,BROADWAY,HAMPSHIRE STREET,SR28 NB,SR113 EB,MERRIMACK VALLEY PLANNING COMMISSION,METHUEN,4,{D4DEE9DD-349B-4EE1-AF3A-235BBA209C73},,,,,268.118923, ,Y,MVPC,268.118851
1300,0,46,cf7ad586-2c91-4850-ac9b-bc492bf967c2,0,13,33,98,BROADWAY,SPRINGVALE AVENUE,SR129 EB,L172181,BROADWAY,SPRINGVALE AVENUE,SR129 EB,L172181,METROPOLITAN AREA PLANNING COUNCIL,LYNN,4,{6582588C-C9B9-412C-AD5F-E8E329223456},,,,,370.475356,Y,Y,MAPC,370.475394
1301,0,15,a0c55312-7f7f-4bef-90ad-25bbcf5764f5,0,7,8,43,FERRY STREET,EASTERN AVENUE,N1292 NB,N341,EASTERN AVENUE,FERRY STREET,N341,N1292 NB,METROPOLITAN AREA PLANNING COUNCIL,MALDEN,4,{EDF8C46C-994D-4DD1-BF21-5294976FCD34},,,,,156.880366, ,Y,MAPC,156.880344
1302,0,23,6c6ab3c3-5285-4a77-9a61-3c5af98b593c,0,8,15,55,RAMP-RT 195 WB TO RT 24 SB,INTERSTATE 195,SR24 SB,I195 EB,INTERSTATE 195,RAMP-RT 195 WB TO RT 24 SB,I195 EB,SR24 SB,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,FALL RIVER,5,{9CC35125-D080-4BBD-9C9C-1EAEC378AC8C},,,,,218.723839, ,Y,SRPEDD,218.723784
1303,0,11,bdf4017e-ec5a-46c1-8179-ccbf6f5a3087,0,7,4,39,BARTLETT AVENUE,EAST HOUSATONIC STREET,L174237,N1078 EB,EAST HOUSATONIC STREET,BARTLETT AVENUE,N1078 EB,L174237,BERKSHIRE REGIONAL PLANNING COMMISSION,PITTSFIELD,1,{EEF8BA53-6DA5-4762-A560-0EC6AE142E3B},,,,,182.251347, ,Y,BRPC,182.251335
1304,0,107,d3a3ad67-58d8-40d7-8294-dcf8bf58da99,0,20,87,187,BROADWAY,SURFACE ROAD NORTHBOUND,US1 NB,SR129 EB,BROADWAY,SURFACE ROAD NORTHBOUND,US1 NB,SR129 EB,METROPOLITAN AREA PLANNING COUNCIL,LYNNFIELD,4,{19DD3EAB-DC2C-4654-85C6-F58BBAB962C0},,,,,601.638228,Y,Y,MAPC,601.638294
1305,0,57,987b4a0c-4cc8-4bf8-a7d5-cf3945e2fc77,0,12,45,105,YARMOUTH ROAD,IYANNOUGH ROAD,N3232,SR28 NB,YARMOUTH ROAD,IYANNOUGH ROAD,N3232,SR28 NB,CAPE COD COMMISSION,BARNSTABLE,5,{D65D68D4-C121-44C3-BABE-93342EE696B2},,,,,220.378879,Y,Y,CCC,220.378801
1306,0,49,a2c2dc17-0d84-4b55-9775-fe87a9b8bad8,0,8,41,81,CAMBRIDGE STREET,MCKEON ROAD, ,N3562,CAMBRIDGE STREET,MCKEON ROAD, ,N3562,CENTRAL MASSACHUSETTS REGIONAL PLANNING COMMISSION,WORCESTER,3,{96A5479E-E8DC-4511-8247-B98ECA519C21},,,,,246.692798, ,Y,CMRPC,246.692807
1307,0,39,429a3b1c-df59-43b3-a7fd-2a3aef18e1e4,0,4,35,55,GOLD STAR BOULEVARD,WEST BOYLSTON TERRACE,SR12 NB, ,GOLD STAR BOULEVARD,WEST BOYLSTON TERRACE,SR12 NB, ,CENTRAL MASSACHUSETTS REGIONAL PLANNING COMMISSION,WORCESTER,3,{EE80A3CE-78AB-4D9E-816D-C72C2BEE4614},,,,,255.804889, ,Y,CMRPC,255.804913
1308,0,53,ff30da38-3261-4ecc-8459-264858fe2b84,0,13,40,105,INTERSTATE 93,RAMP-RT 93 SB TO RT 16 EB,I93 NB,R12187,INTERSTATE 93,RAMP-RT 93 SB TO RT 16 EB,I93 NB,R12187,METROPOLITAN AREA PLANNING COUNCIL,MEDFORD,4,{E3B04945-964A-4E2A-A80B-DCCA7DDE6C6B},,,,,183.274903,"N, HIGHWAY",Y,MAPC,183.274871
1309,0,24,008783a8-0af8-4b00-92b4-43714e612a60,0,9,15,60,ASHLEY BOULEVARD,EARLE STREET,SR18 NB,L144442,ASHLEY BOULEVARD,EARLE STREET,SR18 NB,L144442,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,NEW BEDFORD,5,{AA396F1F-D372-4E6B-A734-2575ABCFCFB0},,,,,239.135578, ,Y,SRPEDD,239.135569
1310,0,22,254ca0d6-5836-4b23-bba3-0a2e3dc1deea,0,7,15,50,BEDFORD STREET,RHODE ISLAND ROAD,SR18 NB,SR79 NB,BEDFORD STREET,RHODE ISLAND ROAD,SR18 NB,SR79 NB,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,LAKEVILLE,5,{7F47740D-5CCB-4FB3-A3E5-AEA10D12CA8F},,,,,199.284886, ,Y,SRPEDD,199.284922
1311,0,64,74c25d86-b06c-45f3-961a-5a6100e0c401,0,14,50,120,GRAFTON STREET,INTERSTATE 290,SR122 NB,I290 EB,INTERSTATE 290,GRAFTON STREET,I290 EB,SR122 NB,CENTRAL MASSACHUSETTS REGIONAL PLANNING COMMISSION,WORCESTER,3,{403DDB50-AC62-4FDB-A1F8-E1A6625249B3},,,,,274.911342,"N, HIGHWAY",Y,CMRPC,274.911511
1312,0,32,4d70f012-a1cc-468b-a223-c98007513342,0,4,28,48,ANDOVER STREET,HIGHWOOD DRIVE,SR133 EB,L116170,ANDOVER STREET,HIGHWOOD DRIVE,SR133 EB,L116170,NORTHERN MIDDLESEX COUNCIL OF GOVERNMENTS,TEWKSBURY,4,{591C8D92-D727-4133-8F28-EE7E3AD3C248},,,,,271.908868, ,Y,NMCOG,271.908819
1313,0,34,9deda3d1-051f-4f82-923f-207212ff8a23,0,13,21,86,COMMERCIAL STREET,MEDFORD STREET,N1280 NB,N1281 EB,COMMERCIAL STREET,MEDFORD STREET,N1280 NB,N1281 EB,METROPOLITAN AREA PLANNING COUNCIL,MALDEN,4,{604C7873-D3B2-4478-A634-AA0A7850B4B8},,,,,232.566953, ,Y,MAPC,232.566994
1314,0,22,35cd9485-b56a-41e7-84e8-a244092ab026,0,7,15,50,INTERSTATE 495,AMESBURY ROAD,I495 SB,SR110 EB,INTERSTATE 495,AMESBURY ROAD,I495 SB,SR110 EB,MERRIMACK VALLEY PLANNING COMMISSION,HAVERHILL,4,{EFCD43B3-B512-4652-BF09-C14B02C51DCD},,,,,157.182171, ,Y,MVPC,157.182158
1315,0,30,9bfb9955-7954-4af4-9109-aa61abcad207,0,9,21,66,KINGS HIGHWAY,RAMP-KINGS HWY TO RT 140 NB,N5329,R26006,KINGS HIGHWAY,RAMP-KINGS HWY TO RT 140 NB,N5329,R26006,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,NEW BEDFORD,5,{DCF4F837-373C-4813-9864-0B34A520904B},,,,,223.551053, ,Y,SRPEDD,223.551111
1316,0,26,87bd9743-eaa7-4238-b494-3543f0bd3bb0,0,4,22,42,ROBESON STREET,NEW BOSTON ROAD,N5428,N5547,ROBESON STREET,NEW BOSTON ROAD,N5428,N5547,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,FALL RIVER,5,{AF07AD79-E9A0-49BF-8D3E-65B5B482A926},,,,,234.000683, ,Y,SRPEDD,234.000669
1317,0,15,cefeaf24-ecbe-4096-9b36-3b8066327c46,0,8,7,47,MAIN STREET,BOLAND WAY,N008 EB,N4873,MAIN STREET,BOLAND WAY,N008 EB,N4873,PIONEER VALLEY PLANNING COMMISSION,SPRINGFIELD,2,{445FCFFD-DE71-4DB4-B2C8-CA80D1327772},,,,,191.929611, ,Y,PVPC,191.929651
1318,0,23,e5929489-4dc8-4ea6-869c-fa5e44c2c4b2,0,9,14,59,MAIN STREET,SHEPPARD STREET,N4636,L135588,MAIN STREET,GROVE STREET,N4636,N4635,OLD COLONY PLANNING COUNCIL,BROCKTON,5,{5DB14648-E423-4E22-9536-09FA761DC34A},,,,,240.285517, ,Y,OCPC,240.285537
1319,0,17,3decce1d-10f1-4fdb-af7f-7778e3c95c26,0,6,11,41,ELM STREET,LINDEN STREET,N3575,N3576,ELM STREET,LINDEN STREET,N3575,N3576,CENTRAL MASSACHUSETTS REGIONAL PLANNING COMMISSION,WORCESTER,3,{AE86EDC2-4DB7-4E9D-8139-94AACFA9ED6A},,,,,164.580118, ,Y,CMRPC,164.580144
1320,0,24,a6f00bab-0a88-4b49-acc8-b2c96fe370ae,0,8,16,56,HAVERHILL STREET,BROADWAY,SR110 EB,SR28 NB,HAVERHILL STREET,BROADWAY,SR110 EB,SR28 NB,MERRIMACK VALLEY PLANNING COMMISSION,LAWRENCE,4,{C7116545-AC77-4338-8A70-CE085C560127},,,,,232.976003, ,Y,MVPC,232.975986
1321,0,42,c9c3c701-6e68-49dd-93ad-3d5341c645c6,0,5,37,62,WASHINGTON STREET,CODDINGTON STREET,N110 EB,N111 NB,WASHINGTON STREET,CODDINGTON STREET,N110 EB,N111 NB,METROPOLITAN AREA PLANNING COUNCIL,QUINCY,6,{76ADF738-DDFF-4ADD-AA27-7BB3C1B7C042},,,,,324.964276, ,Y,MAPC,324.964361
1322,0,16,ec0c1bc1-35cb-47f2-af3e-c62658497cc8,0,5,11,36,IYANNOUGH ROAD, ,SR132 NB, ,IYANNOUGH ROAD, ,SR132 NB, ,CAPE COD COMMISSION,BARNSTABLE,5,{2BB8EB5F-D86B-4868-B277-4B98BCEE6BC7},,,,,156.880395, ,Y,CCC,156.880337
1323,0,18,849618f1-ad45-4eff-b91d-66d5146a30bc,0,6,12,42,FRONT STREET,SUMMER STREET,N2628,N2628,FRONT STREET,SUMMER STREET,N2628,N2628,METROPOLITAN AREA PLANNING COUNCIL,WEYMOUTH,6,{F3C9BEE6-060E-4241-9678-E106CB9165F6},,,,,241.004803, ,Y,MAPC,241.004985
1324,0,29,59a2668c-3015-445a-99cc-5f98d7202746,0,8,21,61,PARADISE ROAD, ,SR1A NB, ,PARADISE ROAD, ,SR1A NB, ,METROPOLITAN AREA PLANNING COUNCIL,SWAMPSCOTT,4,{17ACA193-5F31-407A-A9E7-49C749AF55EB},,,,,236.37377, ,Y,MAPC,236.373804
1325,0,78,356c428d-a620-43b3-89fe-9f0dc4952db9,0,16,62,142,YANKEE DIVISION HIGHWAY,GREAT PLAIN AVENUE,I95 NB,N1581,YANKEE DIVISION HIGHWAY,GREAT PLAIN AVENUE,I95 NB,N1581,METROPOLITAN AREA PLANNING COUNCIL,NEEDHAM,6,{8ADF9674-3D37-4056-988A-BE168B6F2FE6},,,,,275.231439,"N, HIGHWAY",Y,MAPC,275.231322
